,sample_0,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37
3AIBt,0.0003220000000000011,0.0008933978666480543,0.0005530000000000014,0.0006860000000000027,0.00028627615385446413,9.400000000000032e-05,0.0001998833332649881,0.0006499999999999978,0.0006106888557043822,0.0003709999999999998,0.0,0.0004990000000000003,0.0,0.00024900000000000096,0.00046500000000000187,0.000235,0.0,0.0002509999999999995,9.000000000000154e-05,0.0005070429824538396,0.0004049999999999991,0.00023399999999999463,3.0000000000009186e-05,0.0004660000000000012,0.0003349999999999985,0.0,0.0,0.0,0.00016400000000000095,0.0,0.0003849999999999965,0.000108999999999998,0.0,0.0010349999999999943,0.00028200000000000447,0.0,3.900000000000084e-05,0.0
3AIBtm,0.0003220000000000011,0.0008933978666480543,0.0005530000000000014,0.0006860000000000027,0.00028627615385446413,9.400000000000032e-05,0.0001998833332649881,0.0006499999999999978,0.0006106888557043822,0.0003709999999999998,0.0,0.0004990000000000003,0.0,0.00024900000000000096,0.00046500000000000187,0.000235,0.0,0.0002509999999999995,9.000000000000154e-05,0.0005070429824538396,0.0004049999999999991,0.00023399999999999463,3.0000000000009186e-05,0.0004660000000000012,0.0003349999999999985,0.0,0.0,0.0,0.00016400000000000095,0.0,0.0003849999999999965,0.000108999999999998,0.0,0.0010349999999999943,0.00028200000000000447,0.0,3.900000000000084e-05,0.0
3DPHBH1,,,0.0,,,,0.0,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,,,0.0,,
3DPHBH2,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0
3DSPHR,0.0001748599999999985,0.00017485999999999975,0.00017486000000000132,0.0001748599999999989,0.00017485999999999956,0.00017486000000000064,0.00017486000000000064,0.0001748599999999989,0.00017485999999999912,0.0001748599999999989,0.00017486000000000064,0.00017486000000000216,0.0001748599999999989,0.00017486000000000064,0.00017486000000000237,0.00017486,0.0001748599999999989,0.00017485999999999717,0.00017485999999999975,0.00017486000000000237,0.00017486000000000064,0.0001748599999999989,0.00017486000000000064,0.0001748600000000041,0.0001748599999999989,0.00017486000000000064,0.00017485999999999934,0.0001748599999999989,0.00017485999999999975,0.0001748599999999989,0.0001748599999999989,0.00017485999999999975,0.00017485999999999975,0.00017486000000000148,0.00017485999999999717,0.00017485999999999804,0.00017486000000000064,0.0001748599999999989
3HAO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3HBCOAHLm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3HKYNAKGAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3HLYTCL,1.1999999999999858e-05,0.00011199999999999969,1e-05,0.0,3.300000000000004e-05,4.100000000000528e-05,4e-06,0.000144999999999998,0.0001850000000000012,4.0000000000000015e-06,1.2e-05,4.70000000000019e-05,2.600000000000215e-05,3.6000000000000014e-05,2.4e-05,8e-06,8.999999999999907e-06,3.6000000000000014e-05,0.0,2.6e-05,3e-06,1.5e-05,2.0999999999998803e-05,3e-05,1.1999999999999858e-05,0.0,9e-06,1.4e-05,6.1e-05,1.9999999999999907e-05,4.4000000000000283e-05,1.0999999999994304e-05,4.4e-05,5.400000000000001e-05,3.499999999999817e-05,5.199999999999958e-05,6.000000000000796e-06,1.8e-05
3MLDAt,0.0,0.0,0.0,0.0,0.0,3.999999989900971e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.300000005561742e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.999999974752427e-06,2.999999992425728e-06,0.0,0.0,0.0,0.0,0.0,0.0
